SalePrice,MSSubClass,LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrArea,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,FullBath,HalfBath,BedroomAbvGr,TotRmsAbvGrd,Fireplaces,GarageYrBlt,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF
208500,60,8450,7,5,2003,2003,196,706,150,856,856,854,1710,1,2,1,3,8,0,2003,2,548,0,61
181500,20,9600,6,8,1976,1976,0,978,284,1262,1262,0,1262,0,2,0,3,6,1,1976,2,460,298,0
223500,60,11250,7,5,2001,2002,162,486,434,920,920,866,1786,1,2,1,3,6,1,2001,2,608,0,42
140000,70,9550,7,5,1915,1970,0,216,540,756,961,756,1717,1,1,0,3,7,1,1998,3,642,0,35
250000,60,14260,8,5,2000,2000,350,655,490,1145,1145,1053,2198,1,2,1,4,9,1,2000,3,836,192,84
143000,50,14115,5,5,1993,1995,0,732,64,796,796,566,1362,1,1,1,1,5,0,1993,2,480,40,30
307000,20,10084,8,5,2004,2005,186,1369,317,1686,1694,0,1694,1,2,0,3,7,1,2004,2,636,255,57
200000,60,10382,7,6,1973,1973,240,859,216,1107,1107,983,2090,1,2,1,3,7,2,1973,2,484,235,204
129900,50,6120,7,5,1931,1950,0,0,952,952,1022,752,1774,0,2,0,2,8,2,1931,2,468,90,0
118000,190,7420,5,6,1939,1950,0,851,140,991,1077,0,1077,1,1,0,2,5,2,1939,1,205,0,4
129500,20,11200,5,5,1965,1965,0,906,134,1040,1040,0,1040,1,1,0,3,5,0,1965,1,384,0,0
345000,60,11924,9,5,2005,2006,286,998,177,1175,1182,1142,2324,1,3,0,4,11,2,2005,3,736,147,21
144000,20,12968,5,6,1962,1962,0,737,175,912,912,0,912,1,1,0,2,4,0,1962,1,352,140,0
279500,20,10652,7,5,2006,2007,306,0,1494,1494,1494,0,1494,0,2,0,3,7,1,2006,3,840,160,33
157000,20,10920,6,5,1960,1960,212,733,520,1253,1253,0,1253,1,1,1,2,5,1,1960,1,352,0,213
132000,45,6120,7,8,1929,2001,0,0,832,832,854,0,854,0,1,0,2,5,0,1991,2,576,48,112
149000,20,11241,6,7,1970,1970,180,578,426,1004,1004,0,1004,1,1,0,2,5,1,1970,2,480,0,0
90000,90,10791,4,5,1967,1967,0,0,0,0,1296,0,1296,0,2,0,2,6,0,1967,2,516,0,0
159000,20,13695,5,5,2004,2004,0,646,468,1114,1114,0,1114,1,1,1,3,6,0,2004,2,576,0,102
139000,20,7560,5,6,1958,1965,0,504,525,1029,1339,0,1339,0,1,0,3,6,0,1958,1,294,0,0
325300,60,14215,8,5,2005,2006,380,0,1158,1158,1158,1218,2376,0,3,1,4,9,1,2005,3,853,240,154
139400,45,7449,7,7,1930,1950,0,0,637,637,1108,0,1108,0,1,0,3,6,1,1930,1,280,0,0
230000,20,9742,8,5,2002,2002,281,0,1777,1777,1795,0,1795,0,2,0,3,7,1,2002,2,534,171,159
