SalePrice,MSSubClass,LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrArea,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,FullBath,HalfBath,BedroomAbvGr,TotRmsAbvGrd,Fireplaces,GarageYrBlt,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF
145000,20,8400,5,6,1957,1957,0,922,392,1314,1314,0,1314,1,1,0,3,5,0,1957,1,294,250,0
178000,60,7837,6,7,1993,1994,0,0,799,799,799,772,1571,0,2,1,3,7,1,1993,2,380,0,40
85000,30,8777,5,7,1910,1950,0,0,796,796,796,0,796,0,1,0,2,4,0,1980,0,0,328,0
175000,50,7200,5,7,1937,1950,252,569,162,731,981,787,1768,1,1,1,3,7,2,1939,1,240,0,0
127000,50,5000,5,6,1924,1950,0,218,808,1026,1026,665,1691,0,2,0,3,6,1,1924,1,308,0,0
149900,20,9800,5,7,1972,1972,0,894,0,894,894,0,894,1,1,0,3,5,0,1975,2,552,256,0
174000,60,11911,6,5,2005,2005,0,0,684,684,684,876,1560,0,2,1,3,6,1,2005,2,400,100,38
125500,50,5436,4,8,1922,2007,0,735,61,796,796,358,1154,1,1,0,3,7,0,1922,1,240,0,96
175500,20,12090,6,6,1981,1981,210,588,606,1422,1422,0,1422,0,2,0,3,7,1,1981,2,576,276,0
225000,20,9158,8,5,2007,2007,140,0,1496,1496,1496,0,1496,0,2,0,3,7,0,2007,2,474,168,130
129000,85,8400,6,5,1966,1966,0,187,0,814,913,0,913,1,1,0,3,6,0,1990,1,240,0,0
159950,80,13400,5,5,1966,1966,1047,516,380,1024,1086,0,1086,1,1,0,3,6,1,1966,2,484,0,0
157000,20,11880,7,5,1978,1978,206,704,567,1271,1601,0,1601,0,2,0,3,7,1,1978,2,478,0,0
205000,60,13600,7,6,1965,1990,176,454,314,768,1186,800,1986,0,2,1,3,7,3,1965,2,486,0,42
140000,20,9600,7,5,1969,1969,168,0,1164,1164,1164,0,1164,0,1,1,3,6,0,1969,2,528,0,0
200000,60,8068,6,5,2002,2002,0,0,1010,1010,1010,1257,2267,0,2,1,4,8,1,2002,2,390,120,46
217000,20,21000,6,5,1953,1953,184,35,905,1809,2259,0,2259,1,2,0,3,7,2,1953,2,450,166,120
125000,20,8235,5,7,1955,1995,0,180,0,825,825,0,825,1,1,0,2,4,0,1963,2,720,140,50
